no;restaurant_name;city;district;place;unique_menu;price;google_rating;google_count;platform_rating;platform_count;specialized;beef;chicken;seafood;appetizer;other_dish;dessert;other_poultry;takeaway;delivery;outdoor;smoking_area;alcohol_served;wifi;reservation;other
11;Fiesta Steak;Central Jakarta;Thamrin;Grand Indonesia;Round Steak;49090; 4.3 ;91; 3.3 ;77;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon, fish and chips;soup, pasta, salad, chicken pop;fries, rice plate;no;seafood;yes;no;no;no;no;no;no;self service
12;Abuba Steak;Central Jakarta;Menteng;Owned place;Wagyu Rib Eye;235000; 4.4 ;3221; 3.5 ;183;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;seafood, lamb;yes;yes;no;yes;no;yes;yes;kids menu
13;Australian Steak;Central Jakarta;Gunung Sahari;Golden Truly Mall;Tenderloin Steak;53000; 0.0 ;0; 3.1 ;4;Local;sirloin, tenderloin;steak, crispy/katsu;gindara;no;mie hotplate, fries;no;seafood;yes;no;no;no;no;no;no;no
14;American Grill;Central Jakarta;Thamrin;Owned place;Filet Amigon TM & Steak;382000; 3.9 ;86; 3.2 ;106;Western;ribs, rib eye, striploin, sirloin etc;yes, various chicken steak;calamari, salmon, platters;no;seafood steaks, fries etc;no;seafood;no;no;no;no;wine, beer;yes;yes;buffet
15;Steak 21;Central Jakarta;Cempaka Putih;Green Pramuka Square;Prime Sirloin Original Regular;107000; 4.6 ;219; 3.4 ;40;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, snapper, tuna;soup, salad, pasta;burger, fries, fried rice, seafood steaks;banana split, sweet drinks;seafood, lamb;yes;no;yes;yes;no;yes;yes;no
16;Bara Grill;Central Jakarta;Cempaka Putih;Owned place;Brisket 100gr;48000; 0.0 ;0; 3.2 ;16;Local;brisket, ribs, shank;yes;no;sausage platter;fries, colesaw;no;duck, lamb;yes;no;yes;yes;no;no;no;no
17;Terminal Steak & Cafe;Central Jakarta;Hayam Wuruk;Owned place;Sirloin Steak;65000; 4.2 ;74; 2.6 ;6;Local;sirloin, tenderloin, rib eye;steak, cordon bleu;salmon, tuna, gindara;spaghetti, burger, wedges;rice plate, seafood, fried rice etc;no;seafood, vegetables;yes;no;no;yes;no;yes;yes;no
18;The Holy Ribs;Central Jakarta;Sudirman;World Trade Center 6;Hokubee Sirloin 200gr;150000; 3.7 ;9; 3.0 ;18;Local Westerned;sirloin, tenderloin, rib eye, ribs, wagyu, hokubee, oz prime;steak;no;soups, sausage;fries;ice cream, brownies;no;yes;no;no;no;no;no;no;no
19;Outback Steakhouse;Central Jakarta;Sudirman;Ratu Plaza;New York Strip;289000; 4.3 ;572; 4.2 ;227;Western;striploin, sirloin, tenderloin, rib eye, ribs, t-bone;grilled;fish and chips, dory, salmon;fries, soups, salad, pasta;seafood, burger, taco;cookie, pie, cake, special;no;yes;yes;no;no;beer;yes;yes;kids menu
20;La Posta;Central Jakarta;Sudirman;Owned place;Sirloin Strip;395000; 4.6 ;726; 4.5 ;224;Argentinian;sirloin, striploin, tenderloin, rib eye, flank etc;barbequed, fried;no;eggs, mushrooms, empanada, salad, traditional;fries;cake, biscuit, ice cream;pork;yes;yes;no;no;wine, beer;yes;yes;bar, delivery menu
21;D'Core;Central Jakarta;Sudirman;Wisma BNI 46;Sirloin Cheese Steak;140000; 4.1 ;11; 3.2 ;26;Local Westerned;rib eye, tenderloin, sirloin;various chicken dishes;fish and chips, snapper, dory;soup, omelette, fries, pasta;rice plate, fried rice, martabak;banana, ice cream, merah delima, sweet drinks;no;yes;yes;no;no;no;yes;yes;no
22;Benihana Japanese Steakhouse;Central Jakarta;Thamrin;Plaza Indonesia;Saikoro Tenderloin Steak;525000; 4.6 ;168; 4.3 ;242;Japanese;sirloin, tenderloin, rib eye, wagyu;teriyaki;mixed teppan, platter, lobster, scallop etc;soup, salad;sushi, sashimi, udon, fried rice etc;senzai, mochi, specials;vegetables, seafood, tofu;yes;yes;no;yes;vodka, rum tequila, gin, whiskey etc;yes;yes;teppanyaki
23;1/15 Coffee;Central Jakarta;Thamrin;Owned place;Braised Beef;180000; 4.5 ;2029; 4.4 ;602;Western;rib eye;roasted;fish fritters;salad, pasta, egg, sausages;fries;acai, waffle, pudding, kaya, french toast etc;pork, duck, seafood;yes;no;yes;yes;no;yes;no;kids friendly
24;Public Markette;Central Jakarta;Thamrin;Grand Indonesia;US Prime Sirloin Steak;375000; 4.5 ;1539; 4.2 ;1083;Western;sirloin;satay, butter, barbeque;fish and chips;pasta, pizza, salad, nachos, soup, satay etc;rice plate, egg benedict;sweet drinks, smoothie bowl;pork, seafood;yes;no;yes;no;margarita, vodka, rum, beer etc;yes;yes;brunch
25;Greyhound Cafe;Central Jakarta;Menteng;Owned place;Waterfall Sirloin on Hot Plate;245000; 4.5 ;937; 4.1 ;639;Fushioned;sirloin;fried, skewer, grilled, crispy, satay etc;salmon;pasta, salad, soup, fries etc;fried rice, rice plate, tomyum, fries etc;shaved ice, pannacotta, pudding, parfait etc;pork, seafood;yes;yes;no;yes;cocktail, beer, wine, liquor etc;yes;yes;live entertainment
26;Caffe Milano;Central Jakarta;Thamrin;Grand Indonesia;Wagyu Beef Tagliata;380000; 4.5 ;1159; 4.4 ;710;Italian;sirloin, tenderloin, rib eye, wagyu;roasted, parmigiana;calamari, clam;salad, fries, pasta;pizza etc;gelato, cake, pannacotta, gelato parfait etc;seafood, vegetables;yes;no;no;yes;cocktail, beer, liquor etc;yes;yes;no
27;Ninety Nine;Central Jakarta;Thamrin;Grand Indonesia;Australian Gras Fed Tenderloin 160gr;325000; 4.4 ;00.00; 4.2 ;655;Indonesian, Singaporean;sirloin, tenderloin, rib eye;pepes, grilled, parmigiana;fish and chips, barramundi, salmon;salad, humus, pasta, fries platter;bakmi, soto, hainanse etc;no;pork, seafood;yes;no;no;no;cocktail, beer, wine, sangria;yes;yes;no
28;Camden Bar;Central Jakarta;Cikini;Owned place;Wagyu Beef Sirloin Grade 5;260000; 4.4 ;3328; 4.1 ;437;Western;sirloin, tenderloin;grilled, fried;dory;soup, salad, pasta;pizza, burger, fillet, fries, indonesian etc;tiramisu, fudge, crepes;seafood;no;no;yes;yes;cocktail, beer, wine, rhum, liquor etc;yes;yes;bar
29;Rosso;Central Jakarta;Sudirman;Shangrila Hotel;Filetto di Manzo in Salsa Al Gorgonzola;490000; 4.5 ;109; 4.3 ;197;Italian;sirloin, tenderloin, rib eye;roasted;platters, salmon, tuna, lobster;risotto, soup, pasta;pizza;sorbet, gelato, traditional italian;foie gras, seafood, vegetables;no;no;no;no;wine, champagne, sparkling;yes;yes;bar, city view
30;Ocha & Bella;Central Jakarta;Menteng;Hotel Morrissey;La Spada ;460000; 4.5 ;1400; 4.0 ;492;Italian, Japanese;striploin, t-bone, ribs;katsu, fajitas;salmon, snapper, sea bass, tuna;salad, pasta, risotto, parmigiana etc;gyoza, sashimi, rice bowl, seafood, etc;sorbet, gelato, cake, ice cream;pork, seafood, vegetables;no;no;yes;yes;wine, cocktail, liquor, beer etc;yes;yes;bar, praying room
31;Angus House;Central Jakarta;Senayan;Plaza Senayan;Kobe Beef 200gr;1570000; 4.6 ;502; 4.2 ;133;Japanese;sirloin, tenderloin, rib eye, wagyu, kobe, US;no;platters, salmon, prawn, oyster;raw seafood, soup, salad, pasta;hamburg, grilled seafood;cake, crepes, fruit, ice cream;seafood, lamb, foie gras;no;no;no;no;wine;yes;yes;no
32;Akira Watanabe;Central Jakarta;Senayan;Plaza Senayan;Porterhouse Steak Florentine Style;1200000; 4.5 ;607; 4.4 ;462;Japanese;sirloin, tenderloin, porterhouse;grilled;sea urchin, black cod, barramundi, red snapper, salmon;bruschetta, salad, fries, soup, pasta, risotto;pasta, pizza;pannacotta, gelato, cake;duck;no;no;no;no;beer, cocktail;yes;yes;private room, live entertainment
33;OSCAR;Central Jakarta;Thamrin;The Plaza Office Tower;Angus Rib Eye;480000; 4.5 ;444; 4.3 ;299;Western;rib eye;roasted;lobster, salmon, sea bass;seafood, pasta, soup;pasta, pizza;cake, pannacotta, ice cream, sorbet;seafood, lamb, foie gras;yes;no;no;yes;wine, sake, whisky, cocktail, rum, vodka etc;no;yes;private room, valet parking
34;Open Restaurant;Central Jakarta;Cikini;Doubletree by Hilton Hotel;Tenderloin 200gr;359000; 4.4 ;395; 4.2 ;257;Fushioned;sirloin, tenderloin, rib eye;fried, roasted;salmon, sea bass;soup, salad, pasta;rice plate, fried rice, steamed rice, pizza, fries;cake, fruit;no;yes;yes;no;yes;wine;yes;yes;private room, praying room, bar, buffet
35;Signatures Restaurant;Central Jakarta;Thamrin;Hotel Indonesia Kempinski;Grilled Steak Sandwich with Black Angus Tenderloin;235000; 4.5 ;380; 4.2 ;626;Fushioned;tenderloin, rib eye;grilled;salmon;salad;sandwich, burger, soup, noodle, pizza, pasta etc;fruit, cream brulee, pannacotta, ketan, fries etc;seafood, lamb;yes;yes;no;yes;cocktail, beer, whisky, malt, rum, tequila etc;yes;yes;breakfast, private room, kids friendly, buffet
36;SKYE;Central Jakarta;Thamrin;Grand Indonesia;USDA Prime Rib Eye Pepper Steak;220000; 4.6 ;4068; 4.3 ;2835;Western;sirloin, tenderloin, rib eye, tomahawk, wagyu, t-bone;roasted;salmon;soup, salad, pasta, selected, bun;macaroni, fries;cake, bombolini, cream brulee, special;pork, seafood, lamb, duck, foie gras;no;no;yes;yes;cocktail;yes;yes;private room, valet parking, live entertainment, rooftop, city view
37;Alto Restaurant & Bar;Central Jakarta;Gatot Subroto;Four Seasons Hotel;Fileto Al Pepe 130gr;; 0.0 ;0; 4.3 ;158;Italian;sirloin, tenderloin, t-bone;no;salmon, sea bass, lobster;antipasti, soup, salad, pasta, risotto, bruschetta;bruschetta, cheese puffs, fries, lasagna, risotto;special;seafood;no;no;yes;no;sparkle, liquor, cocktail etc;yes;yes;private room, luxury dining
38;Indoguna Meat Shop;South Jakarta;Senopati;Owned place;Dry Aged Beef;125000; 4.6 ;1162; 4.0 ;82;Western;unspecific;grilled, roasted;calamari, dory;quesadila, nachos, soup, salad, pasta etc;burger, pizza;cake, toast;seafood;yes;no;no;no;no;no;no;breakfast
39;Steak 21;South Jakarta;Lebak Bulus;Carefour Lebak Bulus;Prime Sirloin Original Regular;107000; 4.3 ;81; 3.0 ;26;Local Westerned;sirloin, tenderloin, wagyu;steak, grilled, crispy, cordon bleu;salmon, gindara, kakap, tuna;soup, salad, pasta;burger, fries, fried rice;banana split, sweet drinks;seafood, lamb;yes;no;no;no;no;no;yes;breakfast
40;Cafe de Paris;South Jakarta;Kebayoran Lama;Bellezza Shopping Arcade;Steak aus Champignons;98000; 4.0 ;19; 3.2 ;18;French;unspecific;parmigiana, cordon bleu;fish and chips, shrimp, squid, platter;soup, salad, pasta;sandwich, fries;banana, ice cream, crepes;seafood;yes;no;no;no;beer;yes;yes;breakfast
41;Cut & Grill;South Jakarta;Tebet;Owned place;Australian Wagyu Tomahawk;market price; 4.6 ;1873; 4.6 ;1213;Western;tomahawk, sirloin, striploin, tenderloin, ribeye etc;grilled, stuffed;salmon, black cod, tuna;soup, salad, pasta, bruschetta, fries;kebab, burger;cake, pudding, pannacotta, crumble, cookie;seafood, vegetables;yes;yes;yes;yes;no;yes;yes;kids friendly, praying room, live entertainment, valet parking
42;Ruth's Chris Steakhouse;South Jakarta;Karet;Somerset Grand Citra;Petite Filet and Shrimp;770000; 4.6 ;992; 4.6 ;567;Western;filet, rib eye, tomahawk, t-bone;stuffed;shrimp, tuna, scallop, crab, oysters, lobsters;seafood, salad, soup;no;cake, pie, cream brulee, pudding, ice cream etc;seafood, lamb, vegetables;no;no;no;no;wine, beer;no;yes;luxury dining, private room
43;Meat Me Steak House & Butchery;South Jakarta;Kemang;Kemang Village;Beef Parmigiana;125000; 4.4 ;220; 4.1 ;227;Western;sirloin, tenderloin, rib eye, brisket;parmigiana;fish and chips, salmon;soup, pasta;fried rice, rice bowl, rice plate etc;no;seafood;yes;no;yes;yes;wine, beer;yes;yes;no
44;The Real Holysteak!;South Jakarta;Blok M;Blok M Plaza;Beef Ribs Lollipop;199000; 4.4 ;270; 4.3 ;201;Local Westerned;sirloin, tenderloin, rib eye, ribs, wagyu;yes;fish and chips, salmon;soup, pasta, spinach;burger, mac and cheese balls etc;pannacotta, banana fritters, cake;seafood, vegetables;yes;no;no;no;no;no;no;no
45;J Steak;South Jakarta;Blok M;Owned place;Meatville Australian PR Striploin (per gram);850; 4.4 ;156; 3.9 ;86;Western;striploin, sirloin, tenderloin, rib eye, wagyu, t-bone;no;no;no;rice, fries;ice cream;no;no;no;no;no;beer;yes;yes;valet parking
46;Super Steak;South Jakarta;Blok M;Owned place;Steak Platter (Grilled Sirloin & Tomahawk);225000; 4.5 ;395; 4.1 ;131;Western;sirloin, tenderloin, rib eye, tomahawk;no;salmon, lobster, prawn;no;fries, salmon;no;seafood;yes;no;no;no;beer;yes;yes;costumized steak
47;Holy Smokes;South Jakarta;Senopati;Owned place;Southern Styles Beef Ribs Half Rack (2 sides);295000; 4.5 ;1516; 4.4 ;1445;Western;brisket, ribs, fillet, rib eye, porterhouse, wagyu;barbeque, fried;salmon;fries;burger, sandwich, fries, pork chop etc;pudding, bread, cake, tart, pannacotta;pork, seafood;no;no;no;no;wine, beer;yes;yes;valet parking, praying room
48;Couz Steakhouse;South Jakarta;Cilandak;Owned place;Hickhory Back Ribs;155000; 4.7 ;236; 4.1 ;49;Western;sirloin, tenderloin, rib eye, ribs, tomahawk, mignon;roasted;no;salad, cognac de beouf;fries, spinach;brownies, crumble, crepes;vegetables;yes;no;no;no;no;yes;yes;no
49;Bistecca;South Jakarta;SCBD;18 Parc SCBD;New York Striploin 300gr;660000; 4.5 ;1058; 4.4 ;497;Western;striploin, tenderloin, rib eye, brisket;no;salmon, sea bass, crab, octopus;seafood, salad, pasta, tartare etc;salmon, fries etc;no;pork, seafood, lamb;no;no;no;yes;liquor, cocktails, vodka, rum, whiskey etc;yes;yes;private room, bar
50;Holycow! Kemang;South Jakarta;Kemang;Owned place;Wagyu Tenderloin Ranger's Valley;224000; 4.3 ;935; 4.1 ;391;Local Westerned;sirloin, tenderloin, rib eye, wagyu etc;steak;platters;fries;pasta;ice cream, cake;seafood;yes;no;no;no;no;yes;no;valet parking, kids friendly
51;Andakar;South Jakarta;Pasar Minggu;Owned place;Tenderloin;89500; 4.5 ;2456; 4.1 ;205;Local;sirloin, tenderloin, rib eye, ribs;steak, fried, filet;fish and chips, salmon, dory;lasagna, fries, nachos;burger, fries etc;ice cream;seafood, lamb;yes;no;yes;yes;no;no;yes;no
52;Abuba Steak;South Jakarta;Fatmawati;Owned place;New Zealand T-Bone ;118000; 4.5 ;6577; 4.1 ;429;Local Westerned;sirloin, tenderloin, rib eye, wagyu, t-bone;steak;salmon, gindara, dory;fries, pasta, salad;no;ice cream, pudding, cake;seafood, lamb;yes;yes;no;yes;no;yes;yes;valet parking, praying room, kids friendly
53;Tony Roma's;South Jakarta;Gandaria;Gandaria City;The Original Baby Back Ribs Regular;420000; 4.3 ;349; 4.1 ;182;Western;ribs, striploin, rib eye;crispy tenderloins, steak, barbeque;platters, shrimp, salmon, fish fillet;soup, salad, quesadilas, fries etc;artichoke dip, mozarella stick, burger etc;ice cream, molten chocolate, special etc.;pork, seafood;yes;no;no;no;liquor, rum, tequila, gin, vodka, whiskey etc;yes;yes;no
54;AGED+ Butchered Steakhouse;South Jakarta;Setiabudi;MD Place Building;Wagyu Riserva 9+ Picanha 100gr;320000; 4.8 ;996; 3.9 ;19;Japanese;sirloin, striploin, rib eye, t-bone, wagyu;no;scallop, lobster, salmon, crab, octopus;raw meat & seafood, salad, soup, fries;korean hotpot, vegetables;souffle, cream brulee, ice cream, special;seafood;yes;no;no;no;wine, beer, spirit, sake;no;no;no
55;The Holy Ribs;South Jakarta;Karet;Ciputra World;Wagyu Back Ribs 4 Bones;299000; 4.4 ;546; 4.0 ;284;Western;sirloin, tenderloin, rib eye, wagyu, hokubee, oz prime;steak, roasted;no;soup;fries, sausages, spinach, green bean;no;no;no;no;no;no;no;no;yes;no
56;Vins Steak;South Jakarta;Tebet;Owned place;Vins Aust Special;83500; 4.5 ;89; 3.7 ;9;Local;sirloin, tenderloin, rib eye, t-bone, australian, nz;steak;gindara;no;gindara, sausage;no;seafood, lamb;yes;no;no;no;no;no;yes;no
57;MUCCA Steak;South Jakarta;Setiabudi;Setiabudi One;AUS Tenderloin;178000; 4.3 ;261; 3.9 ;110;Western;tenderloin, sirloin, rib eye, wagyu;steak;dory, fish, salmon;wraps, salad, pasta;burger, nasi goreng, fries etc;ice cream, cake, french toast;seafood;yes;no;no;no;beer;yes;yes;no
58;Lokananta;South Jakarta;Dharmawangsa;Owned place;Sirloin Double Mushroom;180000; 4.5 ;574; 3.8 ;164;Local Westerned;sirloin, tenderloin, rib eye;steak, teriyaki, katsu;salmon;soup, pasta, salad, fries, sausages;burger, sandwich, rice plate, fried rice etc;toast, pancake, ice cream;seafood;yes;no;yes;no;no;yes;yes;no
59;Volare;South Jakarta;Fatmawati;Cilandak Town Square;Filetto Al Pepe Verde;295000; 4.0 ;38; 3.9 ;87;Italian;tomahawk, t-bone, sirloin, tenderloin, rib eye, wagyu etc;parmigiana, cordon bleu, fillet, roasted;barramundi, salmon, gindara, octopus;salad, soup, pasta, pizza, risotto, bruschetta etc;fries;nutella pizza, pannacotta, cream brulee, tiramisu etc;seafood;yes;no;yes;yes;beer, cocktail;yes;yes;corkage fee
60;Gandy Steak House;South Jakarta;Pondok Indah;Apartemen Pondok Indah Golf;Grilled Australian Tenderloin;191000; 4.5 ;315; 3.3 ;49;Western;sirloin, tenderloin, rib eye, ribs;steak, schnitzel, cordon bleu etc;salmon, fish, prawn, platter, fish and chips;soup, salad, pasta, garlic bread, quesadilas;sandwich, schnitzel, burger, fries etc;ice cream, gelato;seafood, lamb;no;no;no;no;beer, cocktail;yes;yes;no
61;Stallo Steak & Spaghetti;South Jakarta;Fatmawati;Owned place;Sirloin Double;22000; 4.5 ;791; 3.5 ;28;Local;sirloin, tenderloin;steak, fried;tuna, sea bass, squid;pasta;fries, fried rice, rice plate etc;sweet drinks;no;yes;no;no;no;no;no;no;no
62;Fiesta Steak;South Jakarta;Kuningan;Mall Ambassador;Wagyutaki Steak;123636; 3.7 ;16; 3.1 ;35;Local;sirloin, tenderloin, rib eye, wagyu;steak, grilled, fried;salmon;soup, pasta, salad, chicken pop;fish and chips, salmon, fries, rice plate;no;seafood;yes;no;no;no;no;no;no;no
63;ABI Steak;South Jakarta;Jagakarsa;Owned place;Tenderloin Lokal Besar;62000; 4.4 ;345; 3.0 ;22;Local;sirloin, tenderloin, rib eye, t-bone, australian;steak, barbeque;tuna;no;tuna, fries, sausage, rice plate;toast, banana;seafood;yes;no;no;no;no;yes;yes;no
64;Wolfgang's Steakhouse;South Jakarta;SCBD;Elysee Building;Porterhouse for Two;1950000; 4.5 ;519; 3.3 ;80;Western;sirloin, rib eye, mignon, porterhouse, tomahawk;parmigiana;sea bass, salmon, tuna, lobster;seafood, soup, salad, pasta;fries, burger, sandwich;cake, cream brulee, pie, ice cream;seafood, lamb;yes;no;yes;yes;no;no;yes;private room
65;Madgrill Steak;South Jakarta;Kalibata;Kalibata City Square;Black Angus Sirloin;92000; 3.0 ;3; 2.6 ;5;Local;sirloin, tenderloin, ribs, australian, wagyu;steak;salmon;pasta;fries, salmon;no;seafood;yes;no;no;no;no;yes;no;no
66;El Asador;South Jakarta;Kemang;Kemang Point Building;Bifes Con Cebolla;190000; 4.5 ;1000; 4.3 ;402;Mexican;sirloin, tenderloin, rib eye;pan-fried, schnitzel;no;nachos, quesadilas, empanada, fries, pasta, salad etc;savory crepes;ice cream, cake, waffle;seafood;no;yes;yes;yes;no;yes;yes;buffet, bar, kids friendly
67;Outback Steakhouse;South Jakarta;Kuningan;Kuningan City;Outback Special 6oz;239900; 4.2 ;942; 4.0 ;305;Western;striploin, sirloin, tenderloin, rib eye, ribs, t-bone;grilled;fish and chips, dory, salmon;fries, soups, salad, pasta;seafood, burger, taco;cookie, pie, cake, special;no;no;no;no;yes;cocktail, margarita, martini, mojito, beer etc;yes;yes;no
68;Tokyo Skipjack;South Jakarta;Blok M;Owned place;USDA Choice Beef Striploin 300gr;235000; 4.6 ;3645; 4.5 ;1299;Japanese;striploin, tenderloin, t-bone, rib eye, australian, US, NZ etc;katsu, teriyaki, grilled;salmon, tuna;salad, fries;sate;no;seafood;yes;no;yes;yes;beer;yes;yes;valet parking
69;Soeryo Cafe & Steak;South Jakarta;Pasar Minggu;Graha Mobisel;Tenderloin Mushroom Steak;119500; 0.0 ;0; 4.5 ;523;Local Westerned;sirloin, tenderloin;steak, barbeque, mushroom, cordon bleu;fish and chips, salmon, dory;kebab, fries, dimsum, pasta, soup, salad;pizza, burger, sandwich, omelette etc;banana, ice cream, cream brulee;seafood, vegetables;yes;no;yes;yes;no;yes;yes;private dining, praying room
70;Kedai Tiga Jari;South Jakarta;Bintaro;Owned place;Sirloin Australian 180gr;95454; 4.5 ;620; 2.9 ;12;Local;sirloin;steak, katsu;fish and chips;fries;pasta, rice plate, rice bowl;toast, marjam, sweet drinks;seafood;yes;no;yes;no;no;no;no;no
71;VIN+ Wine & Beyond;South Jakarta;Kemang;Owned place;Beef Sirloin Marsala Sauce;190000; 4.6 ;1510; 4.2 ;214;Fushioned;sirloin, tenderloin, ribs, stroganoff;roasted;fish and chips, barramundi, tuna, prawn, salmon etc;salad, eggs, wraps, croissant, pasta;sandwich, burger, rice plate etc;cake, fruit, pannacotta, pudding;seafood;yes;no;no;no;beer, liquor, cocktail;yes;yes;nightlife
72;Ebeya Steakhouse;South Jakarta;SCBD;The Ritz Carlton;A5 Level Prime Wagyu Sirloin Steak;1200000; 4.6 ;162; 4.2 ;91;Japanese;sirloin, tenderloin, wagyu;no;sea urchin, white fish;sashimi, soup, salad, pasta;rice plate, fried rice, seafood steaks;today's dessert;seafood;yes;no;no;no;wine, beer;yes;yes;course package, luxury dining
73;Iga Ku;South Jakarta;Manggarai;Owned place;Steak Lidah;58000; 4.5 ;526; 3.7 ;68;Local;sirloin, tenderloin, ribs;steak, rosemary;fish and chips, tuna;no;fries, rice bowl, rice plate, pasta etc;no;seafood;yes;no;no;no;no;no;no;no
74;Roellie's;South Jakarta;Pasar Minggu;TB Simatupang;Sirloin Steak;95500; 0.0 ;0; 3.0 ;8;Local;sirloin, tenderloin;steak, grilled, fried;no;fries, soup, salad, pasta;sop buntut, rawon;ice cream, sweet drinks;duck;yes;no;no;no;no;no;yes;no
75;Animale Restaurant;South Jakarta;Setiabudi;MD Place Building;30 Days NY Strip;695000; 4.6 ;352; 4.3 ;147;Western;sirloin, rib eye, rib cap, tomahawk, wagyu, australian;roasted;scallop, lobster, shrimp, crab, calamari, salmon, barramundi etc;hummus, vegetables;bone marrow, bread;cake, tart, pudding, special;pork, vegetables, seafood, rabbit;yes;no;no;no;beer;no;yes;no
76;Cork & Screw;South Jakarta;SCBD;Pacific Place;AUS Chateaubriand;290000; 4.5 ;1450; 4.4 ;424;Western;tenderloin, striploin, chateaubriand;grilled, pan-seared;dory, salmon;soup, salad, puff pastry, tapas, pasta;fried rice, rice plate, steamed rice;cake, tart, churros, waffle, crumble;seafood, duck, lamb;yes;no;no;no;wine, champagne, sparkling;yes;yes;luxury dining, nightlife
77;Odysseia;South Jakarta;SCBD;Pacific Place;Aussie Lamb Chop;288000; 4.4 ;1362; 4.0 ;1015;Western;tenderloin, striploin, rib eye, ribs;parmigiana, katsu, grilled;barramundi, salmon, black cod, fish and chips;fries;rice plate, sandwich, burger, pasta, pizza etc;cake, pudding;seafood, lamb;yes;no;yes;yes;cocktail;yes;yes;bar
